Ctgry,Itm,Srvng_unit,Srvng_mag,Clrs,Clrs_frm_Ft,Ttl_Ft,Strtd_Ft,Trns_Ft,Chlstrl,Sdm,Crbhydrts,Dtry_Fbr,Sgrs,Prtn
Breakfast,Egg McMuffin,g,136.0,300,120,13.0,5.0,0.0,0.26,0.75,31,4,3,17
Breakfast,Egg White Delight,g,135.0,250,70,8.0,3.0,0.0,0.025,0.77,30,4,3,18
Breakfast,Sausage McMuffin,g,111.0,370,200,23.0,8.0,0.0,0.045,0.78,29,4,2,14
Breakfast,Sausage McMuffin with Egg,g,161.0,450,250,28.0,10.0,0.0,0.285,0.86,30,4,2,21
Breakfast,Sausage McMuffin with Egg Whites,g,161.0,400,210,23.0,8.0,0.0,0.05,0.88,30,4,2,21
Breakfast,Steak & Egg McMuffin,g,185.0,430,210,23.0,9.0,1.0,0.3,0.96,31,4,3,26
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",g,150.0,460,230,26.0,13.0,0.0,0.25,1.3,38,2,3,19
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",g,164.0,520,270,30.0,14.0,0.0,0.25,1.41,43,3,4,19
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",g,153.0,410,180,20.0,11.0,0.0,0.035,1.3,36,2,3,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",g,167.0,470,220,25.0,12.0,0.0,0.035,1.42,42,3,4,20
Breakfast,Sausage Biscuit (Regular Biscuit),g,117.0,430,240,27.0,12.0,0.0,0.03,1.08,34,2,2,11
Breakfast,Sausage Biscuit (Large Biscuit),g,131.0,480,280,31.0,13.0,0.0,0.03,1.19,39,3,3,11
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),g,163.0,510,290,33.0,14.0,0.0,0.25,1.17,36,2,2,18
Breakfast,Sausage Biscuit with Egg (Large Biscuit),g,177.0,570,330,37.0,15.0,0.0,0.25,1.28,42,3,3,18
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),g,167.0,460,250,27.0,12.0,0.0,0.035,1.18,34,2,3,18
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),g,181.0,520,280,32.0,13.0,0.0,0.035,1.29,40,3,3,18
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),g,143.0,410,180,20.0,8.0,0.0,0.03,1.18,41,2,3,17
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),g,157.0,470,220,24.0,9.0,0.0,0.03,1.29,46,3,4,17
Breakfast,Steak & Egg Biscuit (Regular Biscuit),g,201.0,540,290,32.0,16.0,1.0,0.28,1.47,38,2,3,25
